Terminal: [6]
 Agents at terminal: 30
Agent ID; Capacity; starttime; endtime; start loc; end loc
27;18;315;2270;-11;-11
29;18;315;2270;-11;-11
31;18;315;2270;-11;-11
62;18;315;2270;-11;-11
64;18;315;2270;-11;-11
72;18;315;2270;-11;-11
81;18;315;2270;-11;-11
103;18;315;2270;-11;-11
142;18;315;2270;-11;-11
144;18;315;2270;-11;-11
146;18;315;2270;-11;-11
153;18;315;2270;-11;-11
155;18;315;2270;-11;-11
173;18;315;2270;-11;-11

Total workers: 211

 Number of passengers: 495
Passenger ID;type ;volume ; starttime;start loc; start term; endtime; end loc;end term;
1;0;2;345;212;4;435;95;8;
2;0;2;345;212;4;442;60;0;
3;0;2;345;200;4;450;35;5;
4;0;2;345;211;4;505;128;9;
5;0;2;345;211;4;575;260;0;
6;0;2;345;200;4;595;16;2;
7;0;2;345;211;4;630;132;9;
8;0;2;345;211;4;630;8;2;
9;0;2;345;211;4;635;197;4;
10;0;2;345;211;4;635;197;4;
11;1;2;345;211;4;650;195;4;
12;0;2;345;211;4;665;14;2;
13;0;2;345;211;4;665;14;2;
14;0;2;345;211;4;675;2;1;
15;0;2;345;211;4;700;13;2;
16;0;2;345;211;4;700;13;2;
19;0;2;345;211;4;810;124;9;
20;0;2;351;362;0;440;181;3;
21;0;2;360;108;9;440;231;10;
22;0;2;360;108;9;440;272;10;
23;1;2;360;108;9;465;183;3;
24;1;2;360;108;9;465;183;3;
25;1;2;360;108;9;635;140;6;
26;0;2;365;309;6;435;179;3;
27;0;2;365;111;9;445;178;3;
28;0;2;365;309;6;450;29;5;
29;0;2;365;302;6;485;60;0;
30;1;2;365;158;6;485;60;0;
31;0;2;365;165;6;485;60;0;
32;1;2;365;309;6;485;60;0;
33;0;2;365;158;6;485;60;0;
34;0;2;365;307;6;485;60;0;
35;0;2;365;302;6;485;60;0;
36;0;2;365;302;6;485;384;0;
37;0;2;365;307;6;575;183;3;
38;0;2;365;111;9;590;242;10;
40;0;2;365;309;6;630;10;2;
41;0;2;365;111;9;640;304;6;
42;0;2;365;111;9;640;304;6;
43;1;2;370;110;6;435;95;8;
44;0;2;370;118;9;455;259;0;
45;1;2;370;118;9;490;60;0;
46;2;3;370;300;6;490;60;0;
47;0;2;370;300;6;490;60;0;
48;0;2;370;118;9;490;60;0;
49;0;2;370;125;9;490;60;0;
50;0;2;370;300;6;490;60;0;
51;1;2;370;114;9;490;60;0;
52;0;2;370;114;9;540;192;4;
53;0;2;370;118;9;575;258;0;
54;0;2;370;125;9;585;177;3;
55;0;2;370;125;9;585;177;3;
56;1;2;370;114;9;625;182;3;
57;0;2;370;114;9;635;140;6;
58;0;2;370;118;9;640;304;6;
59;0;2;370;118;9;640;304;6;
60;0;2;370;114;9;650;12;2;
61;1;2;370;114;9;650;212;4;
62;0;2;370;118;9;650;12;2;
63;0;2;370;114;9;650;12;2;
64;0;2;370;118;9;650;12;2;
65;0;2;370;118;9;800;141;6;
66;0;2;370;118;9;800;141;6;
69;1;2;405;308;6;525;60;0;
70;0;2;405;308;6;525;60;0;
71;0;2;405;308;6;525;60;0;
72;2;3;407;400;4;815;195;4;
74;0;2;420;362;0;585;177;3;
75;1;2;428;366;0;650;195;4;
76;0;2;430;370;0;520;191;4;
77;0;2;444;349;0;640;152;6;
78;1;2;447;367;0;540;192;4;
79;2;3;448;266;0;630;125;9;
80;0;2;450;249;0;580;274;10;
81;0;2;450;249;0;590;95;8;
82;1;2;462;367;0;630;10;2;
83;0;2;464;371;0;540;192;4;
84;1;2;467;338;0;520;191;4;
85;2;3;467;338;0;645;46;6;
86;0;2;470;371;0;540;192;4;
87;0;2;471;373;0;540;125;9;
88;0;2;472;384;0;815;195;4;
89;0;2;474;350;0;540;125;9;
90;1;2;474;351;0;630;132;9;
91;1;2;475;113;6;640;59;7;
92;1;2;476;60;0;540;125;9;
94;0;2;480;158;6;775;236;10;
95;0;2;481;362;0;585;176;3;
96;0;2;482;369;0;630;10;2;
97;3;2;483;351;0;630;125;9;
98;0;2;484;348;0;630;129;9;
99;0;2;485;302;6;815;195;4;
100;0;2;485;302;6;815;195;4;
101;0;2;490;209;4;585;177;3;
102;0;2;490;209;4;585;176;3;
103;0;2;490;209;4;610;60;0;
104;0;2;490;209;4;610;60;0;
105;1;2;490;209;4;760;175;3;
106;0;2;493;384;0;815;195;4;
108;1;2;495;164;3;630;132;9;
109;0;2;498;349;0;630;139;6;
110;1;2;500;369;0;630;10;2;
111;0;2;501;362;0;575;183;3;
112;0;2;501;351;0;630;130;9;
113;0;2;504;370;0;625;71;8;
118;0;2;505;252;0;650;195;4;
119;0;2;505;280;10;650;195;4;
120;0;2;505;280;10;655;57;7;
121;0;2;505;248;0;655;149;6;
123;0;2;510;123;9;630;60;0;
124;0;2;510;79;8;640;141;6;
125;0;2;510;123;9;775;241;10;
126;2;3;511;370;0;580;188;9;
131;0;2;515;118;9;585;177;3;
132;0;2;515;9;2;600;190;4;
133;0;2;515;161;6;610;168;3;
134;1;2;515;312;6;625;178;3;
135;0;2;515;161;6;625;71;8;
138;0;2;515;312;6;635;60;0;
141;1;2;515;298;6;635;60;0;
142;0;2;515;9;2;640;44;6;
143;0;2;515;9;2;640;304;6;
144;0;2;515;118;9;640;304;6;
145;0;2;515;9;2;640;304;6;
146;0;2;515;9;2;640;304;6;
147;0;2;515;312;6;640;44;6;
148;1;2;515;47;7;650;12;2;
149;1;2;515;47;7;650;12;2;
150;1;2;515;47;7;650;12;2;
151;1;2;515;47;7;650;12;2;
153;0;2;515;312;6;650;12;2;
154;1;2;515;312;6;650;12;2;
155;0;2;515;12;2;725;241;10;
156;0;2;515;312;6;755;87;8;
158;1;2;515;9;2;760;173;6;
159;1;2;518;349;0;630;132;9;
160;0;2;520;159;3;585;176;3;
161;0;2;520;159;3;585;176;3;
162;0;2;520;339;0;630;139;6;
163;1;2;520;174;3;655;57;7;
164;0;2;525;106;9;630;122;9;
166;1;2;525;106;9;645;60;0;
167;0;2;525;182;3;655;149;6;
169;1;2;530;290;10;630;132;9;
170;1;2;530;278;10;635;197;4;
174;0;2;530;160;3;655;57;7;
175;0;2;531;361;0;585;176;3;
176;0;2;532;361;0;585;176;3;
177;1;2;535;274;10;650;195;4;
178;0;2;535;274;10;650;195;4;
179;1;2;535;274;10;650;195;4;
181;2;3;539;365;0;630;10;2;
182;1;2;540;135;9;640;141;6;
183;1;2;540;200;4;650;195;4;
186;0;2;540;200;4;1000;130;9;
187;0;2;543;362;0;610;168;3;
189;1;2;545;207;4;630;122;9;
190;2;3;545;295;10;820;197;4;
191;0;2;550;288;10;640;304;6;
192;0;2;550;288;10;640;152;6;
193;0;2;550;288;10;640;304;6;
194;0;2;550;288;10;655;57;7;
195;0;2;550;277;10;660;125;9;
196;1;2;550;344;0;660;125;9;
198;0;2;555;273;0;660;125;9;
200;0;2;560;71;8;625;182;3;
201;0;2;560;162;3;630;122;9;
202;1;2;560;35;5;635;197;4;
203;0;2;560;240;10;640;152;6;
204;0;2;560;240;10;640;152;6;
205;0;2;560;162;3;655;149;6;
206;3;2;560;240;10;660;125;9;
207;0;2;560;296;10;695;183;3;
208;0;2;560;296;10;695;180;3;
210;0;2;560;162;3;815;129;9;
211;2;3;564;363;0;615;177;3;
212;1;2;565;178;3;635;197;4;
213;0;2;565;178;3;655;57;7;
214;0;2;565;178;3;685;60;0;
216;0;2;570;272;10;650;12;2;
217;0;2;570;166;3;655;149;6;
218;0;2;570;166;3;655;149;6;
219;0;2;570;166;3;655;149;6;
220;0;2;570;166;3;700;13;2;
223;0;2;573;339;0;760;173;6;
224;1;2;578;358;0;760;173;6;
225;0;2;580;338;0;755;238;10;
227;0;2;586;338;0;755;238;10;
231;0;2;604;339;0;805;69;8;
234;0;2;605;60;0;820;143;6;
235;0;2;605;60;0;1160;199;4;
236;0;2;610;174;3;745;43;7;
237;4;2;610;125;9;1160;199;4;
238;0;2;611;362;0;695;180;3;
239;2;3;615;370;0;755;176;3;
242;0;2;637;344;0;810;112;9;
243;0;2;650;347;0;820;155;6;
244;0;2;652;351;0;810;139;6;
245;0;2;654;371;0;820;208;4;
246;0;2;655;349;0;815;129;9;
247;1;2;656;330;0;2090;12;2;
248;0;2;660;114;9;755;178;3;
249;0;2;660;114;9;755;178;3;
250;0;2;660;116;9;765;235;10;
251;0;2;660;116;9;780;60;0;
252;0;2;660;116;9;780;60;0;
253;0;2;660;298;6;780;60;0;
254;0;2;660;298;6;780;60;0;
255;0;2;660;114;9;795;93;4;
256;0;2;660;114;9;820;199;4;
257;0;2;660;116;9;820;208;4;
258;1;2;660;114;9;820;208;4;
259;0;2;660;116;9;820;208;4;
260;0;2;660;298;6;1125;146;6;
261;0;2;660;298;6;1125;146;6;
262;0;2;660;298;6;1125;146;6;
263;0;2;662;370;0;755;190;4;
264;0;2;664;367;0;820;208;4;
265;2;3;668;396;7;810;139;6;
266;1;2;675;123;9;785;230;10;
267;1;2;675;123;9;795;60;0;
268;0;2;676;371;0;820;208;4;
269;1;2;680;161;6;800;60;0;
270;1;2;680;161;6;810;139;6;
271;1;2;680;161;6;810;139;6;
272;1;2;680;161;6;1000;130;9;
273;0;2;685;165;6;805;60;0;
274;3;2;685;165;6;805;60;0;
275;0;2;685;165;6;805;60;0;
276;0;2;685;165;6;805;60;0;
277;0;2;685;165;6;805;60;0;
278;0;2;689;350;0;810;139;6;
280;0;2;690;304;6;770;174;3;
281;0;2;690;304;6;770;174;3;
282;0;2;690;304;6;805;32;5;
283;1;2;690;133;9;810;60;0;
284;0;2;690;133;9;810;124;9;
285;0;2;690;133;9;810;60;0;
286;0;2;690;307;6;820;143;6;
287;0;2;690;307;6;840;162;3;
288;0;2;690;133;9;985;192;4;
289;0;2;690;133;9;1070;16;2;
290;0;2;695;204;4;805;69;8;
291;0;2;695;208;4;810;19;2;
292;0;2;695;340;0;810;124;9;
293;0;2;695;208;4;815;195;4;
294;0;2;695;204;4;815;60;0;
295;2;3;695;208;4;815;60;0;
296;0;2;695;208;4;815;195;4;
297;0;2;700;201;4;810;112;9;
298;1;2;700;103;6;815;129;9;
299;0;2;700;201;4;820;155;6;
300;1;2;700;103;6;820;155;6;
301;0;2;700;201;4;970;125;9;
302;0;2;700;201;4;985;192;4;
303;1;2;702;370;0;755;190;4;
304;1;2;707;362;0;765;177;3;
305;0;2;710;287;10;810;311;6;
306;0;2;710;166;3;815;195;4;
307;4;2;710;283;10;815;195;4;
308;0;2;710;166;3;815;195;4;
309;0;2;710;283;10;815;195;4;
310;0;2;710;166;3;815;195;4;
311;0;2;710;166;3;815;195;4;
312;1;2;710;288;10;825;192;4;
313;1;2;710;120;6;970;125;9;
314;1;2;710;120;6;970;125;9;
315;0;2;710;120;6;1000;130;9;
316;0;2;712;345;0;820;106;9;
317;0;2;715;164;3;820;208;4;
318;0;2;715;164;3;820;208;4;
319;0;2;716;61;0;785;243;10;
321;1;2;720;76;8;840;60;0;
322;1;2;720;71;8;840;60;0;
323;0;2;720;71;8;990;152;6;
324;0;2;723;349;0;820;133;9;
325;0;2;730;273;0;850;60;0;
326;0;2;730;170;3;925;71;8;
327;0;2;730;273;0;960;140;6;
328;0;2;730;273;0;960;140;6;
329;0;2;730;170;3;995;128;9;
330;0;2;730;366;0;1120;235;10;
331;0;2;734;338;0;815;129;9;
332;0;2;735;107;6;810;124;9;
333;0;2;735;107;6;810;124;9;
334;0;2;735;107;6;815;129;9;
335;1;2;735;107;6;960;30;5;
336;0;2;735;107;6;985;192;4;
337;2;3;736;339;0;925;179;3;
338;0;2;738;365;0;815;195;4;
339;0;2;740;296;10;860;60;0;
340;0;2;740;296;10;860;60;0;
342;0;2;740;296;10;980;208;4;
344;0;2;744;60;0;815;195;4;
345;0;2;747;340;0;820;199;4;
346;0;2;750;309;6;830;138;6;
347;0;2;750;309;6;830;138;6;
348;4;2;750;309;6;870;60;0;
349;0;2;750;309;6;870;60;0;
350;1;2;750;182;3;900;181;3;
351;0;2;750;162;3;1000;130;9;
352;0;2;750;162;3;1000;130;9;
353;2;3;751;340;0;995;128;9;
354;1;2;752;349;0;810;139;6;
356;0;2;760;340;0;810;112;9;
357;0;2;780;362;0;845;178;3;
359;0;2;790;168;3;910;60;0;
360;0;2;790;168;3;910;60;0;
361;0;2;790;168;3;910;60;0;
362;1;2;805;384;0;955;70;8;
364;0;2;810;170;3;1000;130;9;
365;0;2;825;125;9;935;193;4;
366;0;2;825;125;9;935;193;4;
367;0;2;830;200;4;2250;139;6;
368;0;2;830;200;4;950;60;0;
369;0;2;830;200;4;950;60;0;
370;1;2;830;200;4;950;60;0;
371;0;2;830;200;4;995;128;9;
372;0;2;832;340;0;925;121;9;
373;0;2;835;308;6;955;61;0;
374;0;2;841;363;0;945;32;5;
375;0;2;845;178;3;965;60;0;
376;1;2;845;178;3;965;60;0;
377;1;2;853;346;0;995;128;9;
378;1;2;855;298;6;930;89;8;
379;0;2;855;298;6;975;60;0;
380;0;2;864;372;0;980;208;4;
381;0;2;865;112;9;960;177;3;
382;0;2;869;349;0;975;142;6;
383;0;2;870;259;0;985;192;4;
384;1;2;870;280;10;990;60;0;
385;1;2;870;259;0;990;60;0;
386;0;2;871;371;0;985;192;4;
387;0;2;875;123;9;995;60;0;
388;2;3;875;123;9;995;60;0;
389;0;2;875;123;9;1185;94;6;
391;0;2;880;133;9;965;178;3;
392;0;2;880;287;10;985;192;4;
393;0;2;880;133;9;1000;60;0;
394;0;2;883;347;0;995;122;9;
395;0;2;885;271;10;970;125;9;
396;0;2;885;348;0;995;122;9;
397;0;2;890;162;3;960;140;6;
398;0;2;890;160;3;1010;60;0;
399;0;2;890;160;3;1010;60;0;
400;1;2;890;160;3;1010;60;0;
401;1;2;890;160;3;1010;60;0;
402;0;2;890;160;3;1010;60;0;
403;0;2;890;160;3;1160;118;9;
408;1;2;900;174;3;970;125;9;
409;0;2;900;174;3;970;125;9;
410;1;2;900;174;3;970;125;9;
411;0;2;900;174;3;970;125;9;
412;0;2;900;174;3;975;142;6;
413;0;2;900;291;10;985;192;4;
414;0;2;900;296;10;995;128;9;
415;0;2;900;296;10;995;128;9;
416;0;2;900;281;10;995;128;9;
417;1;2;900;174;3;995;128;9;
418;1;2;900;174;3;995;128;9;
419;1;2;900;174;3;995;128;9;
420;0;2;900;164;3;1000;130;9;
421;0;2;910;120;6;970;125;9;
427;0;2;910;166;3;985;192;4;
428;4;2;910;120;6;995;128;9;
429;4;2;910;120;6;995;128;9;
431;0;2;910;201;4;1000;130;9;
432;1;2;910;166;3;1030;60;0;
434;0;2;910;201;4;1030;60;0;
435;1;2;910;166;3;1030;60;0;
436;0;2;910;272;10;1150;145;6;
437;0;2;918;346;0;1080;108;9;
438;0;2;920;334;0;985;192;4;
439;0;2;927;368;0;985;192;4;
440;0;2;930;178;3;1000;130;9;
441;1;2;930;178;3;1050;60;0;
442;0;2;935;108;9;1055;60;0;
444;0;2;940;207;4;1060;60;0;
445;1;2;940;207;4;1060;60;0;
446;2;3;940;207;4;1060;60;0;
447;1;2;940;207;4;1150;129;9;
448;0;2;942;357;0;1255;230;10;
450;0;2;959;339;0;1150;154;6;
451;1;2;984;370;0;1145;74;8;
452;0;2;990;168;3;1110;60;0;
453;0;2;990;168;3;1110;60;0;
454;0;2;990;168;3;1155;197;4;
455;0;2;990;168;3;1155;197;4;
456;0;2;1000;118;9;1095;176;3;
457;3;2;1000;174;3;1120;60;0;
458;3;2;1000;174;3;1120;60;0;
459;2;3;1000;174;3;1150;154;6;
460;1;2;1000;135;9;1270;98;8;
461;0;2;1000;174;3;1340;17;2;
462;1;2;1005;211;4;1110;96;9;
463;1;2;1005;211;4;1125;121;9;
464;1;2;1005;211;4;1125;60;0;
465;1;2;1005;211;4;1125;60;0;
466;1;2;1005;211;4;1125;146;6;
467;0;2;1005;211;4;1145;179;3;
468;0;2;1015;363;0;1145;191;4;
469;0;2;1020;133;9;1140;60;0;
470;0;2;1020;117;6;1140;60;0;
471;0;2;1020;117;6;1140;60;0;
472;1;2;1020;117;6;1140;60;0;
473;1;2;1020;133;9;1140;60;0;
474;1;2;1020;162;3;1140;60;0;
475;1;2;1020;133;9;1140;60;0;
476;0;2;1020;162;3;1155;197;4;
477;0;2;1020;162;3;1155;197;4;
478;1;2;1020;370;0;1160;192;4;
479;0;2;1035;112;9;1120;235;10;
480;0;2;1035;111;9;1155;384;0;
481;0;2;1035;111;9;1155;60;0;
482;1;2;1035;111;9;1155;60;0;
483;0;2;1039;371;0;1160;192;4;
484;0;2;1043;349;0;1150;129;9;
485;1;2;1045;166;3;1370;16;2;
486;2;3;1045;180;3;1400;153;6;
487;1;2;1055;159;3;1225;228;10;
488;1;2;1065;349;0;1150;129;9;
489;1;2;1070;131;9;1150;154;6;
490;0;2;1070;157;3;1190;60;0;
491;0;2;1070;347;0;1260;121;9;
492;2;3;1070;182;3;1280;120;9;
493;0;2;1070;182;3;1400;132;9;
494;2;3;1080;129;9;2085;46;6;
495;0;2;1080;129;9;1400;153;6;
496;0;2;1085;103;6;1205;60;0;
497;1;2;1085;103;6;1280;231;10;
498;1;2;1090;281;10;1170;178;3;
499;0;2;1090;281;10;1220;99;8;
500;0;2;1090;281;10;1400;130;9;
501;1;2;1100;340;0;1260;121;9;
502;0;2;1100;349;0;1400;129;9;
503;0;2;1100;349;0;1400;129;9;
504;0;2;1104;369;0;1160;192;4;
505;0;2;1120;105;6;1185;94;6;
506;0;2;1120;105;6;1200;175;3;
507;0;2;1120;104;6;1235;99;8;
508;1;2;1120;104;6;1240;60;0;
509;0;2;1120;104;6;1240;60;0;
510;0;2;1120;104;6;1240;60;0;
511;0;2;1120;104;6;1240;60;0;
512;0;2;1120;104;6;1240;60;0;
513;0;2;1135;278;10;1415;154;6;
515;0;2;1150;174;3;1270;60;0;
516;2;3;1150;164;3;1270;60;0;
517;0;2;1150;174;3;1270;60;0;
518;0;2;1150;174;3;1400;132;9;
519;0;2;1150;157;3;1400;192;4;
520;0;2;1155;160;3;1310;15;2;
521;2;3;1159;340;0;1225;122;9;
523;0;2;1170;280;10;1260;89;8;
524;0;2;1170;280;10;1400;130;9;
525;0;2;1175;161;6;1290;174;3;
526;0;2;1175;161;6;1295;60;0;
527;1;2;1175;161;6;1295;60;0;
528;0;2;1175;161;6;1295;60;0;
529;0;2;1175;135;9;1295;60;0;
530;0;2;1175;161;6;1295;60;0;
531;1;2;1175;161;6;1400;129;9;
532;3;2;1200;295;10;1265;178;3;
533;0;2;1200;200;4;1400;130;9;
534;0;2;1205;201;4;1325;60;0;
535;1;2;1205;201;4;1325;60;0;
536;0;2;1210;133;9;1265;191;4;
537;0;2;1225;284;10;1400;132;9;
538;1;2;1225;284;10;1410;139;6;
539;0;2;1232;349;0;1400;132;9;
540;2;3;1233;371;0;1400;197;4;
542;0;2;1267;371;0;1400;192;4;
543;0;2;1275;131;9;1395;60;0;
544;1;2;1275;131;9;1395;60;0;
545;0;2;1275;131;9;1395;60;0;
546;0;2;1275;131;9;1400;129;9;
547;0;2;1275;131;9;1400;129;9;
548;2;3;1275;131;9;1411;266;0;
549;1;2;1280;166;3;1410;139;6;
550;0;2;1285;123;9;1405;60;0;
551;0;2;1295;178;3;1402;60;0;
552;0;2;1310;349;0;1400;130;9;
553;0;2;1322;61;0;1400;132;9;
554;1;2;1324;371;0;1400;197;4;
555;0;2;1325;159;3;1400;132;9;
556;0;2;1330;125;9;1405;127;9;
557;0;2;1335;157;3;1405;127;9;
558;2;3;1340;135;9;1460;60;0;
559;1;2;1340;135;9;1460;60;0;
560;1;2;1340;129;9;1460;60;0;
561;3;2;1340;129;9;1460;60;0;
562;1;2;1340;133;9;1410;139;6;
563;1;2;1345;168;3;1465;60;0;
564;0;2;1345;168;3;1465;60;0;
565;0;2;1350;273;0;1400;153;6;
Pasenger : 1
 Start: 212 End: 95
Segments: 4
ID;Start location; End location; Terminal; Bus;Embarkment
0;212;413;4;;
1;413;410;; terminalbus;
2;410;95;8;;
3;95;95;8;;1
Pasenger : 2
 Start: 212 End: 60
Segments: 1
ID;Start location; End location; Terminal; Bus;Embarkment
4;212;60;4;;
Pasenger : 3
 Start: 200 End: 35
Segments: 5
ID;Start location; End location; Terminal; Bus;Embarkment
5;200;413;4;;
6;413;410;; terminalbus;
7;410;99;8;;
8;99;99;8;;1
9;99;35;; airsidebus;
Pasenger : 4
 Start: 211 End: 128
Segments: 4
ID;Start location; End location; Terminal; Bus;Embarkment
10;211;413;4;;
11;413;411;; terminalbus;
12;411;128;9;;
13;128;128;9;;1
Pasenger : 5
 Start: 211 End: 260
Segments: 5
ID;Start location; End location; Terminal; Bus;Embarkment
14;211;413;4;;
15;413;412;; terminalbus;
16;412;169;3;;
17;169;169;3;;1
18;169;260;; airsidebus;
Pasenger : 6
 Start: 200 End: 16
Segments: 4
ID;Start location; End location; Terminal; Bus;Embarkment
19;200;413;4;;
20;413;407;; terminalbus;
21;407;16;2;;
22;16;16;2;;1
Pasenger : 7
 Start: 211 End: 132
Segments: 4
ID;Start location; End location; Terminal; Bus;Embarkment
23;211;413;4;;
24;413;411;; terminalbus;
25;411;132;9;;
26;132;132;9;;1
Pasenger : 8
 Start: 211 End: 8
Segments: 4
ID;Start location; End location; Terminal; Bus;Embarkment
27;211;413;4;;
28;413;407;; terminalbus;
29;407;8;2;;
